index,listing_id,num_rooms,layout_type,metro,time_to_the_metro,to_the_metro,address,area_m2,living_area,floor,max_floor,building_type,parking,price,deposit,utilities,rental_duration,Prepayment,description,renovation,balconies,loggias,windows,bathroom_unsepar,bathroom_separ,children_pets_allowed,additional_info,number_options,housing_complex,ceiling_height_m,pass_elevator,cargo_elevator,trash_chute,rent_price_per_metr,near_station
1411,265605188,2.0,2,69,4.0,1,560,72.0,43.0,9,9,2,2,55000,55000.0,0,0,1.0,77,1,0,1,2,0,1,1,7,9.0,2,2.64,0,1,0,764.0,1
1412,267912413,3.0,2,69,4.0,0,561,75.0,53.0,7,17,3,2,55000,55000.0,0,0,1.0,58,2,1,0,1,0,1,1,10,7.0,2,2.64,1,1,0,733.0,0
1413,274297207,3.0,0,70,10.0,0,525,80.0,45.0,5,22,3,2,55000,55000.0,0,1,1.0,11,2,0,1,2,0,1,3,160,5.0,2,2.64,2,1,0,688.0,0
1414,274377173,3.0,1,69,3.0,0,483,74.0,42.0,8,17,3,1,55000,55000.0,0,0,1.0,78,2,0,1,1,1,0,0,10,7.0,2,2.64,1,1,2,743.0,0
1415,267327943,3.0,2,71,7.0,0,542,75.0,46.0,17,17,3,1,57000,57000.0,1,0,1.0,45,1,1,1,0,0,0,0,11,8.0,2,2.64,1,1,2,760.0,0
1416,275001366,2.0,2,69,2.0,1,562,55.0,40.0,2,5,3,2,58000,29000.0,0,0,1.0,89,1,1,0,0,0,1,0,161,6.0,2,2.64,1,0,0,1055.0,1
1417,274055925,3.0,0,69,16.0,0,502,79.0,46.0,16,17,3,1,58500,58500.0,0,0,1.0,83,3,2,0,1,0,1,1,22,6.0,2,2.6,1,1,2,741.0,1
1418,274990242,3.0,2,69,4.0,0,563,75.1,46.8,1,12,3,1,60000,60000.0,0,0,1.0,96,1,0,1,2,0,1,1,7,9.0,2,2.64,2,0,0,799.0,0
1419,274706448,1.0,0,69,8.0,0,479,42.0,25.2,19,24,0,0,60000,65000.0,0,0,1.0,105,3,0,0,0,1,0,1,39,5.0,77,2.64,4,1,2,1429.0,0
1420,274455999,2.0,0,69,6.0,0,564,55.0,37.0,15,17,3,1,60000,30000.0,0,1,1.0,73,3,1,0,2,0,1,0,153,5.0,2,2.6,1,1,2,1091.0,0
1421,274878156,2.0,2,71,16.0,0,514,57.0,37.0,8,26,2,1,60000,30000.0,0,0,1.0,85,0,1,0,2,1,0,0,14,10.0,81,2.64,1,0,0,1053.0,1
1422,274734278,4.0,2,71,4.0,0,565,88.0,58.0,2,16,3,1,60000,30000.0,0,0,1.0,48,2,1,0,2,2,0,0,10,7.0,2,2.64,2,0,0,682.0,0
1423,273787045,2.0,2,69,6.0,0,489,65.0,40.0,20,25,0,2,60000,30000.0,0,0,1.0,71,1,0,1,2,0,1,1,52,8.0,80,2.64,3,1,1,923.0,0
1424,274832174,2.0,2,69,8.0,0,505,66.0,37.0,6,17,3,2,60000,60000.0,0,0,1.0,99,1,1,0,0,0,1,1,10,7.0,2,2.64,1,1,0,909.0,0
1425,274925457,3.0,2,69,15.0,0,566,83.0,55.0,4,5,0,1,65000,65000.0,0,0,1.0,93,1,2,0,1,0,1,3,10,7.0,2,3.0,0,1,2,783.0,0
1426,274894934,2.0,0,69,4.0,0,567,52.0,33.0,14,22,3,1,65000,65000.0,0,0,1.0,87,3,0,0,0,0,1,1,162,4.0,2,2.64,2,1,2,1250.0,0
1427,220878150,2.0,2,71,3.0,1,568,58.0,30.0,2,25,0,2,65000,65000.0,0,0,1.0,136,1,1,0,2,0,2,1,70,8.0,78,2.84,1,1,0,1121.0,1
1428,274838613,2.0,2,69,8.0,0,568,57.4,34.44,17,25,0,0,65000,65000.0,0,0,1.0,116,2,1,0,0,0,1,1,111,7.0,78,2.64,1,1,2,1132.0,0
1429,274754445,1.0,0,69,9.0,0,479,40.0,20.0,14,24,0,0,65000,65000.0,0,0,1.0,47,0,0,0,2,0,0,0,52,8.0,2,2.64,4,0,1,1625.0,0
1430,152621878,4.0,1,71,8.0,0,569,100.0,82.0,14,22,2,1,65000,65000.0,0,0,1.0,71,1,1,0,2,1,0,1,14,10.0,2,2.7,2,1,0,650.0,0
1431,274930849,3.0,0,71,8.0,0,542,74.0,46.0,1,17,3,2,67000,67000.0,0,0,1.0,93,3,0,1,1,0,1,0,44,4.0,2,2.6,0,0,2,905.0,0
1432,264844606,3.0,0,71,8.0,0,570,74.0,45.0,4,17,0,1,68000,68000.0,0,0,1.0,53,2,1,2,1,0,1,1,10,7.0,2,2.64,2,0,0,919.0,0
1433,274517166,3.0,0,69,12.0,0,571,87.0,56.0,7,14,3,2,70000,70000.0,0,0,1.0,101,3,0,0,0,1,1,0,120,5.0,2,2.64,1,1,2,805.0,0
1434,274105092,3.0,3,69,17.0,0,572,70.0,50.0,2,9,0,0,70000,70000.0,0,0,1.0,39,1,0,0,2,1,0,1,0,11.0,2,3.0,1,1,0,1000.0,1
1435,274835978,3.0,0,69,15.0,0,573,110.0,54.0,2,3,0,2,110000,110000.0,0,0,1.0,95,3,2,1,1,1,1,1,22,6.0,2,2.8,1,1,2,1000.0,0
1436,272815687,3.0,2,72,9.0,0,574,130.0,60.0,1,4,0,0,165000,330000.0,0,0,1.0,80,0,0,0,2,2,0,3,1,10.0,2,3.0,1,0,0,1269.0,0
1437,273336952,5.0,0,70,8.0,0,575,180.0,108.0,25,25,0,0,250000,250000.0,0,0,1.0,121,3,0,0,1,1,3,0,38,7.0,86,2.64,0,0,2,1389.0,0
1438,274683942,1.0,0,69,20.0,0,576,35.0,18.0,2,5,2,1,28000,28000.0,0,0,1.0,57,2,1,0,2,1,0,3,26,7.0,2,2.64,1,0,2,800.0,1
1439,260751829,1.0,0,71,4.0,0,520,38.0,20.0,15,17,3,1,29000,34000.0,0,0,1.0,12,4,1,0,2,1,0,0,129,3.0,2,2.64,2,0,0,763.0,0
1440,274964219,2.0,0,71,22.0,0,508,20.0,15.0,2,26,0,2,30000,30000.0,0,0,1.0,157,1,0,0,0,0,0,3,76,6.0,81,2.64,3,0,0,1500.0,1
1441,274803945,1.0,0,71,3.0,0,577,40.0,18.0,14,17,3,1,31000,31000.0,0,0,1.0,35,2,0,0,2,0,0,1,68,4.0,2,2.64,2,0,0,775.0,0
1442,274809724,1.0,0,71,5.0,0,521,38.0,18.0,9,17,3,1,31000,31000.0,0,0,1.0,39,2,1,0,2,1,0,3,10,7.0,2,2.64,2,0,0,816.0,0
1443,274632589,1.0,0,71,18.0,0,491,38.0,18.0,18,25,0,2,32000,32000.0,0,0,1.0,96,0,1,0,2,1,0,3,26,7.0,81,2.7,2,1,0,842.0,1
1444,274594311,1.0,0,69,8.0,0,578,41.0,20.0,6,9,3,1,32000,15000.0,0,0,1.0,25,2,1,0,0,0,1,3,10,7.0,2,2.64,1,0,0,780.0,0
1445,272824453,1.0,0,69,10.0,0,579,38.0,19.0,12,14,3,1,32000,32000.0,0,0,1.0,34,2,0,1,2,1,0,1,113,6.0,2,2.64,1,1,0,842.0,0
1446,274336048,1.0,0,69,6.0,0,580,38.4,19.0,16,17,3,1,33000,33000.0,0,0,1.0,18,2,0,1,2,1,0,3,7,9.0,2,2.64,1,1,1,859.0,0
1447,274825803,1.0,0,69,1.0,0,581,39.0,20.0,14,17,3,1,33000,33000.0,0,0,1.0,28,2,1,0,2,1,0,0,63,6.0,2,2.64,2,0,0,846.0,0
1448,272968483,1.0,0,71,22.0,0,508,36.0,21.6,2,26,0,1,33000,20000.0,0,0,1.0,93,1,0,0,0,1,0,0,163,2.0,81,2.64,3,0,0,917.0,1
1449,274952365,1.0,0,69,5.0,0,582,38.0,19.0,8,14,3,2,35000,35000.0,0,0,1.0,55,1,0,1,2,1,0,1,63,6.0,2,2.65,1,1,0,921.0,0
1450,211923708,1.0,0,70,10.0,0,583,35.0,16.0,10,16,3,1,35000,35000.0,0,0,1.0,57,2,0,1,2,1,0,1,10,7.0,2,2.75,1,0,0,1000.0,0
1451,274923176,1.0,0,69,8.0,0,561,38.0,19.0,10,17,3,1,35000,35000.0,0,0,1.0,53,1,1,0,3,1,0,1,10,7.0,2,2.64,2,0,0,921.0,0
1452,229694541,2.0,2,69,3.0,1,531,52.0,31.0,13,17,3,2,35000,35000.0,0,0,1.0,15,2,0,1,3,0,1,1,72,7.0,2,2.64,1,1,0,673.0,1
1453,274551347,1.0,0,70,13.0,0,522,39.0,23.4,8,17,3,1,35000,35000.0,0,0,1.0,13,2,0,1,0,1,0,3,10,7.0,2,2.64,2,0,0,897.0,0
1454,274283137,1.0,0,70,10.0,0,584,40.0,20.0,13,22,3,2,35000,35000.0,0,0,1.0,64,2,0,1,3,1,0,0,7,9.0,2,2.64,2,1,0,875.0,0
1455,273315034,1.0,0,69,4.0,0,585,37.0,20.0,11,17,3,1,35000,35000.0,0,0,1.0,22,2,1,0,2,1,0,1,164,6.0,2,2.64,1,1,0,946.0,0
1456,273894205,1.0,0,69,2.0,0,586,38.0,21.0,8,17,3,2,35000,38000.0,0,0,1.0,34,2,1,0,2,1,0,0,63,6.0,2,2.64,1,1,0,921.0,0
1457,273992125,2.0,2,69,11.0,0,487,56.0,32.0,13,17,3,1,36000,36000.0,0,0,1.0,45,2,1,0,2,0,1,0,52,8.0,2,2.64,2,0,0,643.0,0
1458,274473130,1.0,0,69,6.0,0,495,43.0,20.0,18,25,3,4,38000,38000.0,0,0,1.0,75,1,1,0,2,0,1,1,10,7.0,82,2.64,2,1,2,884.0,0
